model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
LightGBM,rdkit,250,0.3,512,-3.405392195,5.376452443,5.819555188,5.474053534,7.791428664,7.791428664,7.791428664,FALSE,FALSE,FALSE
LightGBM,descriptors,250,0.3,217,-3.405392195,5.376452443,5.819555188,5.474053534,7.791428664,7.791428664,7.791428664,FALSE,FALSE,FALSE
LightGBM,all,250,0.3,1408,-3.405392195,5.376452443,5.819555188,5.474053534,7.791428664,7.791428664,7.791428664,FALSE,FALSE,FALSE
LightGBM,morgan,325,0.3,512,-3.922986844,6.072238156,6.597788508,1.20E+16,8.023357234,8.023357234,8.023357234,FALSE,FALSE,FALSE
LightGBM,maccs,325,0.3,167,-3.922986844,6.072238156,6.597788508,1.20E+16,8.023357234,8.023357234,8.023357234,FALSE,FALSE,FALSE
LightGBM,rdkit,325,0.3,512,-3.922986844,6.072238156,6.597788508,1.20E+16,8.023357234,8.023357234,8.023357234,FALSE,FALSE,FALSE
LightGBM,descriptors,325,0.3,217,-3.922986844,6.072238156,6.597788508,1.20E+16,8.023357234,8.023357234,8.023357234,FALSE,FALSE,FALSE
LightGBM,all,325,0.3,1408,-3.922986844,6.072238156,6.597788508,1.20E+16,8.023357234,8.023357234,8.023357234,FALSE,FALSE,FALSE
CatBoost,rdkit,250,0.3,512,-4.862616556,5.816876403,6.713411174,6.004345494,9.628144351,8.564051872,6.420670101,FALSE,FALSE,FALSE
KNN,maccs,375,0.3,167,-4.90314069,6.065833333,8.535146992,1.71E+16,16.3582,16.4166,16.3582,TRUE,FALSE,FALSE
RandomForest,all,375,0.2,1408,-5.443867868,6.487875,7.792486098,1.76E+16,14.48267,14.64233,15.73472,TRUE,FALSE,FALSE
CatBoost,descriptors,250,0.3,217,-5.446604623,5.748678722,7.039843744,4.904673404,18.64588715,15.11722952,19.55211739,TRUE,FALSE,FALSE
KNN,descriptors,325,0.2,217,-5.742212531,5.62585,8.827182554,3.02777E+15,19.3052,19.3052,18.1476,TRUE,FALSE,FALSE
CatBoost,morgan,375,0.2,512,-5.767109253,5.424151395,7.985540506,1.77E+16,3.348694403,5.663129753,2.965855252,FALSE,FALSE,FALSE
RandomForest,maccs,375,0.3,167,-5.794694416,6.333581667,9.15702506,1.72E+16,11.12618,10.54021,11.08688,TRUE,FALSE,FALSE
RandomForest,rdkit,325,0.3,512,-5.839520725,7.080473333,7.77672761,1.40E+16,16.24847,13.62019,9.39893,FALSE,FALSE,FALSE
XGBoost,rdkit,375,0.3,512,-6.352191773,6.386385618,9.525282203,1.24E+16,1.09765029,30.85908508,8.569681168,FALSE,FALSE,FALSE
RandomForest,maccs,325,0.3,167,-6.378955794,5.519828333,8.077584443,1.56E+16,12.32844,12.68612,12.30752,TRUE,FALSE,FALSE
RandomForest,descriptors,250,0.3,217,-6.509092567,7.114181667,7.597859024,6.842945208,18.32165,17.83874,19.16037,TRUE,FALSE,FALSE
KNN,all,250,0.2,1408,-7.012585651,8.39315,9.5516087,7.968657073,10.4498,19.0976,16.4166,TRUE,FALSE,FALSE
RandomForest,rdkit,250,0.2,512,-7.471398146,8.7171525,9.821271722,10.71731435,12.67713,16.58128,13.83175,TRUE,FALSE,FALSE
RandomForest,all,250,0.3,1408,-7.51138202,7.223605,8.089050446,7.284667737,16.89246,17.16912,19.35291,TRUE,FALSE,FALSE
KNN,all,325,0.2,1408,-7.621829868,7.6128,9.982070056,2.95459E+15,10.2736,19.3052,19.3052,TRUE,FALSE,FALSE
RandomForest,rdkit,375,0.3,512,-7.635526693,8.321831667,10.3231884,1.58E+16,17.13142,17.49844,12.36978,TRUE,FALSE,FALSE
KNN,maccs,375,0.2,167,-7.888260632,6.78705,9.151896782,2.32E+16,17.5158,17.7234,16.3582,TRUE,FALSE,FALSE
KNN,descriptors,325,0.3,217,-8.242210017,6.206533333,9.040073658,1.19E+16,19.3052,19.3052,18.1476,TRUE,FALSE,FALSE
RandomForest,maccs,250,0.3,167,-8.50143904,7.620003333,8.546576714,7.986688578,19.57258,18.80636,19.65433,TRUE,FALSE,FALSE
KNN,maccs,325,0.3,167,-8.600913412,7.187766667,9.213832842,1.62E+16,15.9508,16.5658,16.5658,TRUE,FALSE,FALSE
KNN,maccs,250,0.3,167,-8.62435681,7.161033333,8.601681543,6.262591988,15.9508,19.2468,19.2468,TRUE,FALSE,FALSE
KNN,all,375,0.2,1408,-8.635435905,8.21435,9.528804271,1.66E+16,10.4498,20.4044,17.5158,TRUE,FALSE,FALSE
XGBoost,descriptors,325,0.2,217,-8.852501902,5.694822131,10.67073053,8.67309E+14,23.35384941,23.35404015,32.63759232,TRUE,FALSE,FALSE
KNN,rdkit,325,0.3,512,-9.07703645,6.532033333,9.439532092,1.48E+16,2.266,18.9044,10.1334,FALSE,FALSE,FALSE
CatBoost,rdkit,375,0.2,512,-10.2033901,8.197155013,10.27489641,1.83E+16,6.252786224,8.549175609,6.104774794,FALSE,FALSE,FALSE
KNN,rdkit,375,0.3,512,-10.30894469,9.221666667,11.81355148,1.50E+16,0.9268,19.0976,10.1334,FALSE,FALSE,FALSE
KNN,all,375,0.3,1408,-10.32056205,9.4643,11.81961778,1.57E+16,10.4498,19.0976,16.4166,TRUE,FALSE,FALSE
RandomForest,maccs,375,0.2,167,-10.36032461,7.89729,10.34661034,2.46E+16,12.87438,12.5307,12.64242,TRUE,FALSE,FALSE
KNN,rdkit,250,0.2,512,-10.70810448,9.70605,11.54605108,8.895638424,2.266,18.6902,10.3132,FALSE,FALSE,FALSE
KNN,descriptors,250,0.3,217,-10.93588909,8.3335,9.57910402,6.190559327,18.8954,18.8954,19.2468,TRUE,FALSE,FALSE
KNN,all,325,0.3,1408,-13.24889121,8.326333333,11.224696,1.61E+16,10.2736,19.3052,19.3052,TRUE,FALSE,FALSE
XGBoost,rdkit,375,0.2,512,-13.60432451,9.600806589,11.73122758,1.86E+16,1.079964757,30.85972214,8.193531036,FALSE,FALSE,FALSE
KNN,morgan,325,0.2,512,-14.14746102,12.9982,13.23094338,1.33E+16,20.165,18.6902,18.6902,TRUE,FALSE,FALSE
KNN,rdkit,375,0.2,512,-14.73741363,10.0028,12.17781586,1.60E+16,1.0944,20.4044,11.7962,FALSE,FALSE,FALSE
XGBoost,descriptors,325,0.3,217,-16.29112967,8.451638931,12.365046,1.20E+16,29.37766457,29.37817574,32.63303757,TRUE,FALSE,FALSE
KNN,morgan,375,0.2,512,-17.29685143,13.1234,13.13079145,3.04E+16,13.3038,20.4044,13.3038,TRUE,FALSE,FALSE
RandomForest,rdkit,375,0.2,512,-17.43971522,9.9659225,13.18195509,2.17E+16,14.92531,15.51362,12.04341,TRUE,FALSE,FALSE
KNN,rdkit,250,0.3,512,-18.04441838,10.38703333,12.09988824,9.005173134,2.266,18.6902,10.3132,FALSE,FALSE,FALSE
RandomForest,rdkit,250,0.3,512,-19.97350312,11.77342,12.69793178,11.39966926,14.06733,17.28207,14.79039,TRUE,FALSE,FALSE
KNN,morgan,325,0.3,512,-20.61681319,13.56543333,13.82546946,1.79E+16,20.165,18.6902,18.6902,TRUE,FALSE,FALSE
KNN,morgan,375,0.3,512,-21.1509114,16.14733333,16.53351668,2.90E+16,19.0976,19.0976,19.0976,TRUE,FALSE,FALSE
KNN,all,250,0.3,1408,-22.08771565,11.6027,13.32256919,9.612278726,15.8306,18.6902,18.9214,TRUE,FALSE,FALSE
KNN,morgan,250,0.2,512,-24.01960014,16.51905,16.87836453,19.00403118,19.0976,18.6902,19.0976,TRUE,FALSE,FALSE
XGBoost,descriptors,250,0.3,217,-25.74151098,11.89242442,14.33806264,7.332666817,26.69577599,26.70145226,32.63988495,TRUE,FALSE,FALSE
KNN,morgan,250,0.3,512,-34.05829209,16.26116667,16.41696527,14.48601048,20.165,18.6902,18.6902,TRUE,FALSE,FALSE
XGBoost,rdkit,250,0.2,512,-34.44631137,13.70799132,20.0898042,20.51054051,1.726053357,30.85906029,3.06987071,FALSE,FALSE,FALSE
XGBoost,rdkit,250,0.3,512,-35.03959135,10.76162389,16.64513918,14.64510242,6.133765697,30.85907173,2.128614187,FALSE,FALSE,FALSE
